Event_Name,Match_Type,Match_Num,Scouter_Initials,Team_Num,Team_Name,Start_Position,Auto_Cargo_Upper,Auto_Cargo_Lower,Auto_Tarmac,Tele_Cargo_Upper,Tele_Cargo_Lower,Hangar_Level,Hangar_Time,Use_Launch_Pad,Cargo_Loaded_Start,Defense_Rating,Speed_Rating,Tippy,Died_in_Match,Penalties
LoneStarRegional,Playoff,1,MK,217,ThunderChicken,2,1,1,0,9,1,0,13,0,0,5,1,0,0,0
LoneStarRegional,Qual,2,AB,217,ThunderChicken,1,4,4,1,6,5,1,3,1,0,4,4,0,0,0
LoneStarRegional,Playoff,3,XZ,217,ThunderChicken,2,2,2,1,9,4,2,3,1,1,1,4,0,0,0
MidwestRegional,Playoff,4,XZ,217,ThunderChicken,3,1,4,0,8,6,0,25,0,1,1,4,1,0,0
MidwestRegional,Qual,5,XZ,217,ThunderChicken,3,4,3,1,7,5,4,18,1,1,4,3,1,1,0
LoneStarRegional,Qual,6,XZ,217,ThunderChicken,2,3,3,0,4,4,3,20,0,1,4,4,0,0,0
LoneStarRegional,Qual,7,LS,217,ThunderChicken,3,2,4,0,2,6,2,8,1,1,5,3,0,0,1
LoneStarRegional,Playoff,8,TR,217,ThunderChicken,3,3,1,0,7,2,4,21,1,0,2,1,1,0,0
PacificRegional,Qual,9,AB,217,ThunderChicken,2,0,0,1,7,5,2,15,1,1,5,4,1,0,0
LoneStarRegional,Playoff,10,AB,217,ThunderChicken,1,4,0,1,8,1,4,0,1,0,5,3,0,0,0
PacificRegional,Qual,11,LS,217,ThunderChicken,3,1,2,0,5,2,3,26,0,0,3,3,0,0,0
MidwestRegional,Qual,12,KP,217,ThunderChicken,3,2,2,0,4,2,1,4,1,1,3,4,1,0,0
MidwestRegional,Playoff,13,AB,217,ThunderChicken,2,4,3,1,5,8,0,20,1,0,2,5,0,0,0
LoneStarRegional,Qual,14,TR,217,ThunderChicken,1,4,1,0,5,5,2,4,1,0,5,3,0,0,0
NEDistrict,Qual,15,AB,217,ThunderChicken,3,2,4,0,6,8,2,6,1,1,2,5,0,0,0
MidwestRegional,Qual,16,XZ,217,ThunderChicken,2,0,1,0,6,5,2,17,0,1,3,5,1,1,0
LoneStarRegional,Playoff,17,JD,217,ThunderChicken,1,2,0,0,7,7,4,22,1,0,4,1,1,0,0
PacificRegional,Qual,18,KP,217,ThunderChicken,1,1,4,1,8,7,0,23,0,1,4,1,1,0,0
PacificRegional,Playoff,19,TR,217,ThunderChicken,1,2,3,0,8,4,4,12,0,0,3,2,1,0,0
LoneStarRegional,Playoff,20,LS,217,ThunderChicken,3,4,3,1,8,4,2,17,1,1,3,1,0,0,0
LoneStarRegional,Qual,21,JD,217,ThunderChicken,3,2,0,1,5,3,3,10,1,1,2,2,0,0,0
NEDistrict,Playoff,22,TR,217,ThunderChicken,2,0,4,0,8,4,1,18,1,0,4,1,1,0,0
LoneStarRegional,Playoff,23,JD,217,ThunderChicken,2,4,2,1,5,6,1,13,0,0,2,2,0,0,0
PacificRegional,Playoff,24,KP,217,ThunderChicken,1,3,1,1,7,9,2,2,1,0,3,3,0,0,0
LoneStarRegional,Qual,25,AB,217,ThunderChicken,3,3,1,0,8,1,1,25,1,0,4,2,1,0,1
NEDistrict,Playoff,26,TR,217,ThunderChicken,3,2,1,1,4,9,0,2,1,0,4,5,0,0,0
MidwestRegional,Playoff,27,XZ,217,ThunderChicken,3,1,1,0,3,1,1,8,1,1,2,1,0,0,0
LoneStarRegional,Qual,28,JD,217,ThunderChicken,3,4,4,1,9,5,1,20,0,0,1,1,0,0,0
NEDistrict,Qual,29,LS,217,ThunderChicken,2,2,1,0,2,3,3,24,0,0,2,1,0,0,0
MidwestRegional,Playoff,30,JD,217,ThunderChicken,2,4,0,1,4,6,0,23,0,1,4,3,0,0,0
NEDistrict,Playoff,31,MK,217,ThunderChicken,3,3,2,0,8,4,4,26,1,0,2,5,0,0,0
MidwestRegional,Qual,32,AB,217,ThunderChicken,3,0,1,0,9,6,0,30,1,1,2,3,1,0,0
PacificRegional,Playoff,33,KP,217,ThunderChicken,3,2,2,0,6,6,2,14,0,0,2,4,1,0,0
LoneStarRegional,Playoff,1,TR,280,TnT,2,2,0,1,8,9,1,12,1,1,5,1,0,0,0
PacificRegional,Qual,2,XZ,280,TnT,3,3,4,0,4,8,4,27,0,0,1,3,1,0,1
MidwestRegional,Qual,3,MK,280,TnT,3,0,4,1,8,7,0,18,0,1,5,4,1,0,0
MidwestRegional,Playoff,4,XZ,280,TnT,2,3,3,0,5,6,4,21,1,0,3,4,0,0,1
LoneStarRegional,Playoff,5,AB,280,TnT,1,1,1,0,3,2,4,4,1,0,5,3,0,0,0
NEDistrict,Qual,6,JD,280,TnT,3,4,4,0,8,7,0,1,1,0,5,4,0,0,1
LoneStarRegional,Playoff,7,AB,280,TnT,1,0,1,1,6,6,1,3,1,1,2,3,0,0,0
LoneStarRegional,Playoff,8,XZ,280,TnT,3,1,1,0,7,9,1,0,0,1,5,3,1,0,0
LoneStarRegional,Playoff,9,JD,280,TnT,3,2,1,0,6,6,0,24,1,1,5,5,0,0,0
PacificRegional,Playoff,10,MK,280,TnT,2,0,4,1,4,4,3,30,1,1,1,3,1,0,0
LoneStarRegional,Qual,11,JD,280,TnT,3,3,2,1,6,9,1,15,0,1,4,4,0,0,0
NEDistrict,Qual,12,TR,280,TnT,3,4,1,1,4,8,2,28,1,1,4,3,1,0,0
PacificRegional,Qual,13,TR,280,TnT,2,3,3,0,3,4,0,9,1,0,2,4,1,0,0
MidwestRegional,Qual,14,MK,280,TnT,2,0,1,1,0,1,0,21,0,0,4,4,1,0,0
MidwestRegional,Playoff,15,JD,280,TnT,1,3,4,1,6,8,1,24,0,1,5,3,0,0,0
LoneStarRegional,Playoff,16,AB,280,TnT,1,0,0,0,1,5,1,8,1,0,1,2,1,0,0
MidwestRegional,Playoff,17,TR,280,TnT,2,4,2,0,7,8,0,23,1,1,3,3,1,0,2
MidwestRegional,Qual,18,MK,280,TnT,2,2,3,1,9,4,3,14,0,0,1,5,0,0,0
PacificRegional,Qual,19,JD,280,TnT,3,3,4,0,8,5,2,14,1,0,4,1,1,0,0
PacificRegional,Playoff,20,KP,280,TnT,3,3,0,0,6,4,2,25,1,0,3,3,0,0,0
LoneStarRegional,Playoff,21,AB,280,TnT,3,1,4,1,7,5,4,4,1,1,5,1,1,0,0
PacificRegional,Qual,22,KP,280,TnT,2,0,3,1,9,8,2,9,1,1,3,5,1,0,1
MidwestRegional,Playoff,23,LS,280,TnT,3,1,1,1,1,7,1,8,0,0,1,4,0,0,0
NEDistrict,Playoff,24,JD,280,TnT,2,0,3,0,9,8,0,24,0,1,5,5,0,0,0
NEDistrict,Qual,25,XZ,280,TnT,1,1,2,1,6,4,0,2,0,0,3,1,0,0,1
NEDistrict,Playoff,26,KP,280,TnT,2,1,3,1,4,5,1,27,1,1,4,2,0,0,0
PacificRegional,Qual,27,AB,280,TnT,3,4,4,1,5,5,3,29,0,0,3,1,0,0,0
NEDistrict,Playoff,28,XZ,280,TnT,3,0,1,1,0,4,4,8,0,1,1,5,0,0,0
MidwestRegional,Playoff,29,XZ,280,TnT,3,4,4,1,8,6,0,14,1,0,1,3,0,0,0
NEDistrict,Playoff,30,LS,280,TnT,2,0,1,0,5,2,0,19,1,1,4,2,1,0,0
NEDistrict,Qual,31,LS,280,TnT,3,3,1,1,8,7,2,15,0,0,5,1,1,0,0
LoneStarRegional,Playoff,32,XZ,280,TnT,3,1,3,0,1,9,1,12,1,1,4,2,0,0,0
PacificRegional,Playoff,33,AB,280,TnT,2,4,1,1,7,3,0,9,1,1,5,2,1,0,0
LoneStarRegional,Playoff,1,MK,503,Frog Force,3,4,4,1,9,6,0,29,0,0,5,4,1,0,0
NEDistrict,Playoff,2,JD,503,Frog Force,2,0,3,1,1,6,1,29,1,0,3,2,1,0,0
MidwestRegional,Playoff,3,AB,503,Frog Force,3,3,4,1,6,5,2,13,1,0,1,4,0,0,0
NEDistrict,Qual,4,KP,503,Frog Force,1,2,3,1,8,3,3,18,1,0,3,5,0,0,0
NEDistrict,Qual,5,AB,503,Frog Force,2,4,0,0,8,8,2,0,1,0,3,1,1,0,0
NEDistrict,Qual,6,KP,503,Frog Force,1,3,0,0,8,4,4,6,1,0,2,4,1,0,0
LoneStarRegional,Playoff,7,XZ,503,Frog Force,1,0,4,1,0,8,2,16,1,1,2,3,0,0,1
LoneStarRegional,Playoff,8,LS,503,Frog Force,3,1,3,1,2,3,0,1,1,0,5,1,1,0,0
MidwestRegional,Playoff,9,JD,503,Frog Force,1,3,0,0,7,1,3,18,0,1,2,3,0,0,0
LoneStarRegional,Qual,10,MK,503,Frog Force,1,1,0,0,6,7,3,2,1,1,1,4,0,0,0
LoneStarRegional,Playoff,11,MK,503,Frog Force,1,4,2,1,7,7,2,9,0,1,3,3,1,0,0
MidwestRegional,Qual,12,TR,503,Frog Force,2,3,0,0,3,0,4,16,0,0,2,5,0,0,0
PacificRegional,Qual,13,XZ,503,Frog Force,3,3,4,1,6,6,1,16,1,1,1,1,0,0,0
MidwestRegional,Playoff,14,XZ,503,Frog Force,1,0,0,1,7,4,2,2,0,0,5,5,1,0,0
LoneStarRegional,Qual,15,TR,503,Frog Force,3,4,0,1,5,4,0,19,0,0,5,4,1,0,0
NEDistrict,Qual,16,KP,503,Frog Force,1,1,3,1,8,7,1,6,1,1,1,4,1,0,0
PacificRegional,Playoff,17,AB,503,Frog Force,3,0,4,1,6,8,0,5,1,1,5,1,0,0,1
LoneStarRegional,Qual,18,XZ,503,Frog Force,2,2,1,1,6,1,3,28,0,1,3,1,1,0,0
LoneStarRegional,Playoff,19,KP,503,Frog Force,1,2,3,1,8,3,0,23,0,0,5,1,1,0,0
PacificRegional,Playoff,20,KP,503,Frog Force,2,2,2,1,9,4,0,22,0,1,2,3,0,0,1
NEDistrict,Playoff,21,TR,503,Frog Force,2,3,2,1,4,2,2,20,0,1,1,2,0,0,1
MidwestRegional,Playoff,22,JD,503,Frog Force,1,1,1,0,8,4,0,22,0,0,5,2,1,0,0
LoneStarRegional,Playoff,23,LS,503,Frog Force,1,2,4,1,4,5,1,16,1,1,1,4,1,0,0
MidwestRegional,Qual,24,LS,503,Frog Force,1,1,4,0,3,9,0,21,1,0,4,2,0,0,0
LoneStarRegional,Qual,25,TR,503,Frog Force,3,1,2,1,4,2,4,7,1,1,2,2,1,0,1
MidwestRegional,Playoff,26,TR,503,Frog Force,3,3,4,0,8,5,2,11,0,0,5,1,1,0,0
MidwestRegional,Playoff,27,TR,503,Frog Force,3,4,3,1,7,4,0,25,0,0,4,5,0,0,0
NEDistrict,Playoff,28,XZ,503,Frog Force,3,3,3,1,4,9,3,24,0,0,5,4,1,0,0
PacificRegional,Playoff,29,AB,503,Frog Force,1,2,3,1,4,9,1,30,0,1,3,4,1,0,0
NEDistrict,Qual,30,KP,503,Frog Force,3,1,3,1,8,7,2,1,1,0,5,4,1,0,0
PacificRegional,Qual,31,AB,503,Frog Force,2,0,4,0,0,8,1,24,1,1,2,5,1,0,1
